# Wavelength   Rlam
100.00000 48.28635
100.04457 48.28472
100.08917 48.28309
100.13378 48.28146
100.17842 48.27982
100.22307 48.27819
100.26774 48.27656
100.31244 48.27492
100.35715 48.27329
100.40188 48.27165
100.44664 48.27001
100.49141 48.26838
100.53620 48.26674
100.58101 48.26510
100.62585 48.26346
100.67070 48.26182
100.71557 48.26018
100.76047 48.25854
100.80538 48.25689
100.85031 48.25525
100.89527 48.25361
100.94024 48.25196
100.98523 48.25031
101.03024 48.24867
101.07528 48.24702
101.12033 48.24537
101.16540 48.24373
101.21050 48.24208
101.25561 48.24043
101.30075 48.23878
101.34590 48.23712
101.39107 48.23547
101.43627 48.23382
101.48148 48.23217
101.52672 48.23051
101.57197 48.22886
101.61724 48.22720
101.66254 48.22554
101.70785 48.22389
101.75319 48.22223
101.79855 48.22057
101.84392 48.21891
101.88932 48.21725
101.93473 48.21559
101.98017 48.21393
102.02563 48.21226
102.07110 48.21060
102.11660 48.20894
102.16212 48.20727
102.20766 48.20561
102.25321 48.20394
102.29879 48.20227
102.34439 48.20061
102.39001 48.19894
102.43565 48.19727
102.48131 48.19560
102.52699 48.19393
102.57269 48.19226
102.61841 48.19058
102.66415 48.18891
102.70991 48.18724
102.75569 48.18556
102.80150 48.18389
102.84732 48.18221
102.89316 48.18054
102.93903 48.17886
102.98491 48.17718
103.03082 48.17550
103.07674 48.17382
103.12269 48.17214
103.16865 48.17046
103.21464 48.16878
103.26064 48.16710
103.30667 48.16541
103.35272 48.16373
103.39879 48.16204
103.44488 48.16036
103.49099 48.15867
103.53712 48.15698
103.58327 48.15530
103.62944 48.15361
103.67563 48.15192
103.72184 48.15023
103.76808 48.14854
103.81433 48.14685
103.86060 48.14515
103.90690 48.14346
103.95321 48.14177
103.99955 48.14007
104.04591 48.13838
104.09228 48.13668
104.13868 48.13498
104.18510 48.13329
104.23154 48.13159
104.27800 48.12989
104.32448 48.12819
104.37098 48.12649
104.41751 48.12479
104.46405 48.12308
104.51061 48.12138
104.55720 48.11968
104.60380 48.11797
104.65043 48.11627
104.69708 48.11456
104.74374 48.11285
104.79043 48.11115
104.83714 48.10944
104.88387 48.10773
104.93062 48.10602
104.97739 48.10431
105.02419 48.10260
105.07100 48.10089
105.11783 48.09917
105.16469 48.09746
105.21157 48.09574
105.25846 48.09403
105.30538 48.09231
105.35232 48.09060
105.39928 48.08888
105.44626 48.08716
105.49326 48.08544
105.54028 48.08372
105.58733 48.08200
105.63439 48.08028
105.68148 48.07856
105.72858 48.07684
105.77571 48.07511
105.82286 48.07339
105.87003 48.07166
105.91722 48.06994
105.96443 48.06821
106.01166 48.06648
106.05892 48.06475
106.10619 48.06303
106.15349 48.06130
106.20081 48.05957
106.24814 48.05783
106.29550 48.05610
106.34288 48.05437
106.39028 48.05264
106.43771 48.05090
106.48515 48.04917
106.53261 48.04743
106.58010 48.04569
106.62761 48.04396
106.67514 48.04222
106.72268 48.04048
106.77026 48.03874
106.81785 48.03700
106.86546 48.03526
106.91309 48.03351
106.96075 48.03177
107.00843 48.03003
107.05612 48.02828
107.10384 48.02654
107.15158 48.02479
107.19935 48.02305
107.24713 48.02130
107.29493 48.01955
107.34276 48.01780
107.39061 48.01605
107.43847 48.01430
107.48636 48.01255
107.53427 48.01080
107.58221 48.00904
107.63016 48.00729
107.67814 48.00553
107.72613 48.00378
107.77415 48.00202
107.82219 48.00027
107.87025 47.99851
107.91833 47.99675
107.96644 47.99499
108.01456 47.99323
108.06271 47.99147
108.11088 47.98971
108.15906 47.98795
108.20728 47.98618
108.25551 47.98442
108.30376 47.98265
108.35204 47.98089
108.40033 47.97912
108.44865 47.97735
108.49699 47.97559
108.54535 47.97382
108.59374 47.97205
108.64214 47.97028
108.69057 47.96851
108.73901 47.96674
108.78748 47.96496
108.83598 47.96319
108.88449 47.96141
108.93302 47.95964
108.98158 47.95786
109.03016 47.95609
109.07875 47.95431
109.12738 47.95253
109.17602 47.95075
109.22468 47.94897
